arm,mean_difference,ci97_5_low,ci97_5_high,relative_improvement,wins,ties,losses,worst_regression,worst_case
B0,14.769448817668364,8.61667559203047,21.18257046393676,-0.026554164813355374,30,18,80,130.7934656875,41
B10,15.312952181325414,8.786275867034906,21.891232091596912,-0.02753133586918355,29,17,82,130.7934656875,41
B20,16.26806960365328,10.165450337651368,22.76798344800304,-0.029248552656465643,32,10,86,100.49835890909083,13
B5,15.796270157264772,9.261016182453764,22.303185931928574,-0.028400298912340416,27,18,83,130.7934656875,41
