arm,mean_difference,ci98_75_low,ci98_75_high,improvement_pct,wins,ties,losses
B0,14.769448817668362,7.693157409416628,21.929465644074753,-2.6554164813355374,30,18,80
B5,15.79627015726477,8.468869287414202,23.31757030800522,-2.8400298912340416,27,18,83
B10,15.312952181325413,8.023542167316586,22.65309489789878,-2.753133586918355,29,17,82
B20,16.268069603653277,9.33651587248966,23.30272640567358,-2.9248552656465643,32,10,86
