cohort,seed,seed_hex,source_seed,derivation_index,contrast,reference,candidate,valid_pair,reference_status,candidate_status,mean_time_per_source_delta,virtual_time_s_delta,last_source_first_seen_s_delta,last_source_first_seen_per_source_s_delta,detect_count_delta,switch_count_delta,discovery_measures_delta,discovery_travel_s_delta,discovery_measure_s_delta,discovery_switch_s_delta,final_discovery_measure_s_delta,post_last_seen_discovery_s_delta,post_all_cleared_discovery_s_delta,distance_delta,stage_discovery_s_delta,stage_active_localization_s_delta,stage_diagnostic_s_delta,stage_optical_fallback_s_delta,stage_certified_clear_s_delta,comparison,last_discovery_comparison
holdout128,41,0f71acec80017a2d9b3713f98bdfa59ce47f52438ef4db411c7024a5d0b0cba7,,73,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,42,f87d4669f525888d5c0d90d8dca86071fa842f3e1b2bbe2226b3c4f641fcf08b,,74,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-90.97430626666676,-1364.6145940000006,-798.9202660000001,-53.261351066666634,-78,-77,-72,-492.831181999999,-360.0,-73.0,-1364.6145940000006,-601.2695829999993,-1013.7393860000002,-4488.072958996825,-925.8311819999972,-793.8227839999986,0.0,0.0,355.03937199999643,win,win
holdout128,42,f87d4669f525888d5c0d90d8dca86071fa842f3e1b2bbe2226b3c4f641fcf08b,,74,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,33.99875973333337,509.9813959999992,850.6498549999997,56.70999033333328,7,10,8,163.30189199999768,40.0,9.0,509.9813959999992,-217.83389800000168,273.2674849999985,2324.906976073573,212.3018919999986,211.92075999999997,0.0,0.0,85.75874400000123,loss,loss
holdout128,43,06ef1bd704a60f39efb391308ab441858002f3105fe887af0af01692745d9440,,75,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-81.72377543750008,-1307.5804070000013,-3649.741054,-228.108815875,1,7,11,-966.6502290000017,55.0,12.0,-1307.5804070000013,2200.778914999998,1411.1576649999988,-6597.902034452454,-899.6502290000017,-962.7751390000006,0.0,0.0,554.8449610000014,win,win
holdout128,43,06ef1bd704a60f39efb391308ab441858002f3105fe887af0af01692745d9440,,75,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,37.44298125,599.0877,1299.6606620000002,81.22879137500001,3,3,1,410.1231460000008,5.0,0.0,599.0877,-527.6606659999989,92.96058400000038,2905.438503472149,415.1231460000008,437.29036400000007,0.0,0.0,-253.32581000000084,loss,loss
holdout128,44,800183387f9ae15096626a8d14275fc5d38060bb1eac6f7b5cecae031ae8330c,,76,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-28.102735642857056,-393.43829899999946,-161.2674619999998,-11.519104428571495,11,13,14,-917.9885639999957,70.0,14.0,-578.6100779999997,-260.5246539999989,-260.5246539999989,-2307.1914631688414,-833.9885639999957,116.71533300000192,341.0111539999998,0.0,-17.17622200000551,win,win
holdout128,44,800183387f9ae15096626a8d14275fc5d38060bb1eac6f7b5cecae031ae8330c,,76,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,45,1e932ef31da5c1849f69a30599c321b4b98e98c1c81bb7dc1daa0e2c8c32436d,,77,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-154.55413640000006,-1545.5413640000006,-2810.3874810000007,-281.0387481,-57,-56,-56,-891.8513850000018,-280.0,-55.0,-1545.5413640000006,1083.2335139999986,-922.3299830000014,-6022.706830569696,-1226.851385,-70.36203399999908,-281.86484999999993,0.0,33.53690499999959,win,win
holdout128,45,1e932ef31da5c1849f69a30599c321b4b98e98c1c81bb7dc1daa0e2c8c32436d,,77,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,-9.235606100000041,-92.35606100000041,1023.2574299999997,102.32574299999987,7,6,8,-154.23294899999928,40.0,7.0,-92.35606100000041,-1064.7142709999998,-252.52398100000028,-666.7803068380963,-107.2329490000011,-217.61266500000102,0.0,0.0,232.4895530000008,win,loss
holdout128,46,2680e52d8048f4df2a1123ac490c6e5de4db20ce72f3d6b909cc1311db60a4fb,,78,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-89.25737908333338,-1071.088549,-4789.120773000001,-399.09339775,-9,-1,0,-818.1561019999999,0.0,2.0,-1071.088549,3614.3452530000004,2229.954826,-5125.442752477968,-816.1561020000008,-211.87576899999976,-143.20671500000026,0.0,100.15003699999954,win,win
holdout128,46,2680e52d8048f4df2a1123ac490c6e5de4db20ce72f3d6b909cc1311db60a4fb,,78,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tie,tie
holdout128,47,f3eca92cd0abbb0eb636762a627321e89286f700ceeed0f092cbefa48a82d3cd,,79,D1-D0,D0,D1,True,FULL_CLEAR,FULL_CLEAR,-90.25934768750005,-1444.1495630000009,-1983.217603,-123.9511001875,10,16,18,-1081.633363,90.0,21.0,-1444.1495630000009,562.8970889999991,272.0248969999993,-7550.7478174040225,-970.633362999999,-444.5022530000009,0.0,0.0,-29.0139470000006,win,win
holdout128,47,f3eca92cd0abbb0eb636762a627321e89286f700ceeed0f092cbefa48a82d3cd,,79,D2-D1,D1,D2,True,FULL_CLEAR,FULL_CLEAR,6.218599375000053,99.49759000000086,3415.185792,213.449112,13,14,13,20.513716000001295,65.0,14.0,99.49759000000086,-3167.553176999999,-2620.515648999999,102.48794569373422,99.5137160000013,9.094947017729282e-13,0.0,0.0,-0.016126000001349894,loss,loss
