cohort,problem,seed,seed_hex,baseline,candidate,baseline_s_per_source,candidate_s_per_source,delta_s_per_source,comparison,total_time_delta_s,distance_delta_m,certificate_travel_delta_m,discovery_delta_s,active_localization_delta_s,diagnostic_delta_s,optical_fallback_delta_s,certified_clear_delta_s
development100,4,28,0000000000000000000000000000000000040000000000000000000000000000,mec_center,segment_entry,985.2695530833333,982.6799902500001,-2.589562833333275,win,-31.074753999999302,-155.37377026764443,-114.04730697078708,-6.454524999999194,-1.8107669999997142,0.0,0.0,-22.809461999999712
development100,4,28,0000000000000000000000000000000000040000000000000000000000000000,nccp,segment_entry,982.53864325,982.6799902500001,0.1413470000001098,loss,1.6961640000008629,8.480826061204425,2.621703695991755,1.1614579999968555,0.010364999999865177,0.0,0.0,0.5243410000023232
development100,4,29,0000000000000000000000000000000001000000000000000000000000000000,mec_center,nccp,877.6399947692308,875.691765,-1.9482297692308066,win,-25.326987000000372,-126.63495924560993,-112.2684710262256,-2.329945999999836,-1.1644669999984671,0.6211169999996855,0.0,-22.453691000001072
development100,4,29,0000000000000000000000000000000001000000000000000000000000000000,mec_center,segment_entry,877.6399947692308,875.9112825384616,-1.728712230769247,win,-22.473259000000326,-112.36630746357696,-101.85814551259728,-1.6967600000007224,-0.9029820000007476,0.4981099999995422,0.0,-20.371626999997943
development100,4,29,0000000000000000000000000000000001000000000000000000000000000000,nccp,segment_entry,875.691765,875.9112825384616,0.21951753846155952,loss,2.8537280000000464,14.268651782032975,10.410325513628322,0.6331859999991138,0.26148499999771957,-0.12300700000014331,0.0,2.082064000003129
development100,4,30,0000000000000000000000000000000040000000000000000000000000000000,mec_center,nccp,959.3862995454546,957.247026090909,-2.1392734545455596,win,-23.532008000000133,-167.66003841737256,-204.67922026108658,-8.440643999998429,25.844478999998728,0.0,0.0,-40.93584299999918
development100,4,30,0000000000000000000000000000000040000000000000000000000000000000,mec_center,segment_entry,959.3862995454546,957.3299126363636,-2.0563869090909748,win,-22.620256000000154,-163.10128245918168,-259.4187862207325,-7.194241000001057,36.45773999999892,0.0,0.0,-51.883754999998416
development100,4,30,0000000000000000000000000000000040000000000000000000000000000000,nccp,segment_entry,957.247026090909,957.3299126363636,0.08288654545458485,loss,0.9117519999999786,4.558755958190886,-54.739565959645915,1.2464029999973718,10.613261000000193,0.0,0.0,-10.947911999999235
development100,4,31,0000000000000000000000000000001000000000000000000000000000000000,mec_center,nccp,795.7401562142858,794.1382949285714,-1.6018612857143353,win,-22.42605800000092,-87.13029931664641,-215.4204139278795,-6.001081000003978,26.659105000001546,0.0,0.0,-43.0840819999994
development100,4,31,0000000000000000000000000000001000000000000000000000000000000000,mec_center,segment_entry,795.7401562142858,794.1307464285713,-1.6094097857144334,win,-22.531737000001158,-87.65870289564918,-211.7102992191426,-6.0488380000024335,25.85915899999941,0.0,0.0,-42.342057999998815
development100,4,31,0000000000000000000000000000001000000000000000000000000000000000,nccp,segment_entry,794.1382949285714,794.1307464285713,-0.007548500000098102,win,-0.10567900000023656,-0.5284035790027701,3.71011470873691,-0.047756999998455285,-0.7999460000021372,0.0,0.0,0.7420240000005833
development100,4,32,0000000000000000000000000000040000000000000000000000000000000000,mec_center,nccp,792.764677,790.7093863571429,-2.0552906428571305,win,-28.774068999999145,-143.87034196688182,-112.14496836346461,-3.792695999996795,-2.552378999999519,0.0,0.0,-22.42899400000124
