block,pairs,mean_abs,rms,max_abs
position,36,0.0031473204873966386,0.0075057840975139905,0.0627155907407696
heading,36,0.0059488404695573725,0.014593762518184514,0.06595380002097695
radius,36,0.006093152125639867,0.01501056674956075,0.08951321017595859
type,36,0.005648183487933562,0.014072310014613721,0.0731844090438285
noise,36,0.0003232355803763105,0.0008021015225951611,0.004987603519332029
B,36,0.006509714308013139,0.015841429791891386,0.0743588842816314
