experiment,id,step,max_range,top3_same,gap3_min,cleared,all_zero
receive_rb,63,8,4.130021987347465e-05,True,0.02977328084427311,True,False
receive_rb,169,9,0.0,True,0.0,True,True
receive_rb,184,1,0.01752231560451452,True,0.08701482408621519,False,False
receive_rb,211,2,0.0005120164756041712,True,0.017137308340409385,True,False
receive_rb,230,18,9.53419175894199e-05,True,0.0037053054222035975,True,False
receive_rb,273,19,0.000264067028531878,True,0.0,True,False
receive_rb,503,16,4.177756013956646e-05,True,0.0,True,False
receive_rb,653,18,0.00018024707429353803,True,0.0,True,False
receive_rb,751,9,0.0006171162968653943,True,0.07519520119897954,True,False
receive_rb,761,2,0.000947312244008125,True,0.16772600785117386,True,False
receive_rb,890,2,0.00030119782572179954,True,0.0,True,False
receive_rb,942,10,0.002584064962040389,True,0.0,True,False
rb64,14,7,0.0006326211146247818,True,0.02199558823330408,True,False
rb64,17,1,0.01788242317162897,True,0.03982480202851013,False,False
rb64,19,11,0.0005208928834825044,True,0.014879439658157079,True,False
rb64,25,20,0.001884755637490465,True,0.0,True,False
rb64,26,17,0.008067197700348583,True,0.0,True,False
rb64,32,5,0.0002540158117354807,True,0.31546835037615906,True,False
rb64,35,3,0.00010228093462594234,True,0.0,True,False
rb64,77,17,0.00016513139855806047,True,0.0,True,False
rb64,98,4,0.00012358619070684806,True,0.04591103055600709,True,False
rb64,126,11,0.0,True,0.0,True,True
rb64,140,18,0.0,True,0.0,True,True
rb64,180,17,0.0,True,0.0,False,True
rb64,183,3,0.0007356075189664524,True,0.04006197360481323,True,False
rb64,209,14,0.0,True,0.0,True,True
rb64,211,13,2.207576732815575e-05,True,0.0,True,False
rb64,225,13,0.0004345033707819912,True,0.0,True,False
rb64,274,14,0.0,True,0.0,True,True
rb64,285,3,0.0005462491898979849,True,0.9165195678526965,True,False
rb64,290,8,0.00013111146366312498,True,0.217582453845656,True,False
rb64,310,3,0.000753966800701944,True,0.07710365556259291,True,False
rb64,345,12,0.0027714555665444562,True,0.48287591491707876,True,False
rb64,418,10,0.006092035572571153,True,0.2916972444962681,True,False
rb64,430,21,0.0,True,0.0,True,True
rb64,472,4,0.0002736632195271538,True,0.6527063023480498,True,False
rb64,479,21,0.0005006810746039925,True,0.0,True,False
rb64,484,1,0.02878666916829753,True,0.08494313780880869,False,False
rb64,486,11,0.0,True,0.0,True,True
rb64,499,14,0.0006977358265966016,True,0.5276590544915487,True,False
rb64,500,16,0.0,True,0.0,True,True
rb64,527,17,0.0,True,0.0,True,True
rb64,557,22,0.0,True,,True,True
rb64,559,22,0.0,True,,True,True
rb64,561,7,9.46707195397245e-05,True,0.06553069540416223,True,False
rb64,590,20,0.0,True,0.0,True,True
rb64,592,22,0.0,True,,True,True
rb64,609,18,0.0,True,0.0,True,True
rb64,630,10,0.0017488063749625526,True,0.2477663957291743,True,False
rb64,653,18,1.862546046860203e-05,True,0.004229415884600457,True,False
rb64,662,2,0.004955898602845621,True,0.06112562592465154,False,False
rb64,686,22,0.0,True,,True,True
rb64,746,21,0.0,True,0.0,True,True
rb64,752,18,0.0,True,0.0,True,True
rb64,765,6,0.0008879172165724425,True,0.5773933050133644,True,False
rb64,787,12,2.3739094580643716e-05,True,0.0,True,False
rb64,807,16,0.0001883838605136745,True,0.12795760337152362,True,False
rb64,816,19,0.0,True,0.0,True,True
rb64,832,23,0.0,True,,True,True
rb64,842,19,5.878697824535095e-05,True,0.0,True,False
rb64,867,16,7.798746619658292e-05,True,0.0,True,False
rb64,871,10,0.0,True,0.0,True,True
rb64,908,22,0.0,True,,True,True
rb64,913,8,0.00022485602726673992,True,0.6581688798460094,True,False
rb64,916,7,0.0004149302555981338,True,0.0,True,False
rb64,917,19,0.0,True,0.0,True,True
rb64,931,15,9.271904130697672e-05,True,0.0,True,False
rb64,936,11,0.0,True,0.0,True,True
rb64,938,23,5.551115123125783e-16,True,,True,False
rb64,947,15,0.0008637153588005042,True,0.0,True,False
rb64,961,13,0.0,True,0.0,True,True
rb64,978,2,0.00017500388567115444,True,0.0840075631278242,True,False
rb64,989,9,8.82961854195008e-05,True,0.0,True,False
rb64,1002,7,6.0621813930628043e-05,True,0.0,True,False
