seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,clearance_point,polygon_certified_count,near_certified_count,polygon_clear_travel_m,polygon_clear_mec_travel_m,same_state_clear_saving_m,polygon_zero_move_count,nccp_fallback_count,max_clearance_vertex_distance,certificate_audit_violations,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s
76,203900a04f3213c83cfd64fcde62304947dcfa0b0e564a2484b2ca9f30079ac5,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,15,15,1.0,,723.2611729333333,10848.917594,43809.58796216986,1.3618033999955514,cpu,1,18,19,5,4,341,295,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,c694554abf7bd898b59d6601d64e0bbc8df95d166e6882998b159f54173998a5,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,nccp,14,0,3405.8796155516784,3512.256167067533,106.3765515158538,0,0,19.998999999999995,0,8452.709378000003,1151.5318119999984,442.82418199999984,50.6762990000002,751.1759229999996,0.0
77,8c9018fdbc851f5eca97c37a399d64c2f8251ee55e80d15eba489fefe150ab1c,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,844.0388721538462,10972.505338,40982.52668008155,1.450240300000587,cpu,0,0,13,0,0,460,411,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,f516e191debe8c3c45cb50b6ce0f484c1d3c6fa2475d254b4c2ca36a3051619b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,mec_center,13,0,2036.6161542745356,2036.6161542745356,0.0,0,0,18.752629164395874,0,9315.341144000002,1184.8409619999993,0.0,0.0,472.3232320000011,0.0
77,8c9018fdbc851f5eca97c37a399d64c2f8251ee55e80d15eba489fefe150ab1c,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,13,13,1.0,,841.750715923077,10942.759307,40833.79653370209,1.4733871999997064,cpu,0,0,13,0,0,460,411,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,f516e191debe8c3c45cb50b6ce0f484c1d3c6fa2475d254b4c2ca36a3051619b,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,6,recovered_practice_engine_local,grid_v1,nccp,13,0,1887.6038896824928,2027.5659042184047,139.9620145359119,0,0,19.998999999999988,0,9321.150118999998,1179.0884109999997,0.0,0.0,442.5207770000022,0.0
78,d036688037ab4281d988dd57fe83338d05c8008c5b4b2f8c63accd4c2a9d5598,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1246.414573,12464.14573,40400.72864844944,1.5607298999966588,cpu,0,0,10,0,2,730,684,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,f0becf15af2f5dee528ec96525ab1a989a3674edf03031801ea233241f4a494c,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,9,recovered_practice_engine_local,grid_v1,mec_center,10,0,893.0337021483199,893.0337021483199,0.0,0,0,19.964549544701796,0,10826.343076,1046.5978580000024,362.5980559999998,0.0,228.60673999999835,0.0
78,d036688037ab4281d988dd57fe83338d05c8008c5b4b2f8c63accd4c2a9d5598,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,10,10,1.0,,1244.9325047,12449.325047,40326.62522095559,1.613386699995317,cpu,0,0,10,0,2,730,684,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,f0becf15af2f5dee528ec96525ab1a989a3674edf03031801ea233241f4a494c,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,9,recovered_practice_engine_local,grid_v1,nccp,10,0,808.4652421767665,892.3166808313765,83.85143865461002,0,0,19.998999999999988,0,10825.340307000002,1049.0726920000002,363.2189990000006,0.0,211.6930489999985,0.0
79,a6ba2dd1b21b567d9d7e3a352524e055066cefce17e809774129cd8e632d97fe,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,16,16,1.0,,636.129916625,10178.078666,41150.393335438435,1.4032308000023477,cpu,0,0,16,0,0,319,273,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,8cc78bffd4da37f0ca124522fcf358431c28224e4c04c06f7eee40db407ae05d,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,1,recovered_practice_engine_local,grid_v1,mec_center,16,0,2695.1232383704705,2695.1232383704705,0.0,0,0,19.942137023357287,0,8103.771009999998,1455.2830079999994,0.0,0.0,619.0246480000022,0.0
79,a6ba2dd1b21b567d9d7e3a352524e055066cefce17e809774129cd8e632d97fe,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,16,16,1.0,,634.244826875,10147.91723,40999.58614804632,1.5068392000030144,cpu,0,0,16,0,0,319,273,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,8cc78bffd4da37f0ca124522fcf358431c28224e4c04c06f7eee40db407ae05d,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,1,recovered_practice_engine_local,grid_v1,nccp,16,0,2569.330555093813,2697.635325471785,128.30477037797232,0,0,19.998999999999995,0,8102.066380999999,1451.9847379999997,0.0,0.0,593.8661110000005,0.0
80,94018b9b3219c756621656d79d2b577167a27a0060befd05e569be644dfc0b9c,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1205.4039292,12054.039292,40160.19644914963,1.392930800000613,cpu,0,0,10,0,2,669,627,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,161758e31e61d672efa5b1f64d6eb3fb27fca65d3fc4f1ad4e2d47846f3e16d1,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,mec_center,10,0,2000.8465069619963,2000.8465069619963,0.0,0,0,19.463534166316627,0,10608.421396000002,783.9365419999992,211.5120509999997,0.0,450.169302999999,0.0
80,94018b9b3219c756621656d79d2b577167a27a0060befd05e569be644dfc0b9c,sha256_new_design,4,P4_diagnostic_v1_grid_v1_nccp,FULL_CLEAR,user_exit,10,10,1.0,,1203.8477109,12038.477109,40082.38554356433,1.4069940999979735,cpu,0,0,10,0,2,669,627,2bb2bec8100fb608e61b78d1fc3a58e8ae43a7c0a3b90f60455a9e3f20d649e4,161758e31e61d672efa5b1f64d6eb3fb27fca65d3fc4f1ad4e2d47846f3e16d1,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,3,recovered_practice_engine_local,grid_v1,nccp,10,0,1938.595043599255,2007.1668178317077,68.57177423245263,0,0,19.99899999999999,0,10603.007865,784.5845810000012,213.1656550000007,0.0,437.71900799999855,0.0
81,f5e448db998402da006dd0a63b61cef865dacc9d9d4caa4e8ad34f48feb6ea1e,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,13,13,1.0,,922.7349659230769,11995.554557,42762.77279787492,2.1730246000006446,cpu,0,0,13,0,4,571,523,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,b4f2b9f5541aa0949c16afc79a293db885e90f3d2ceadf2c1195dbfb985b3e00,6715d13abf8c010f2fc2139cfe9e5000ccff9f61dab7250fd98e80a0d028ae32,11,recovered_practice_engine_local,grid_v1,mec_center,13,0,1738.5909642410465,1738.5909642410465,0.0,0,0,19.648696577116215,0,9776.284999,1315.7353749999997,490.8159929999996,0.0,412.7181900000006,1.8189894035458565e-12
