time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
9.216000000000000000e+04,1.203000000000000076e-02,1.924421919145620774e-01,8.473644298709701594e-01,1.557643915196505434e-04
9.222000000000000000e+04,1.203000000000000076e-02,1.923272246503857086e-01,8.474329661163093608e-01,1.557647453086312395e-04
9.228000000000000000e+04,1.203000000000000076e-02,1.922124628391925771e-01,8.475013945111198321e-01,1.557650981603224372e-04
9.234000000000000000e+04,1.203000000000000076e-02,1.920979059429877567e-01,8.475697153023898922e-01,1.557654500775106446e-04
9.240000000000000000e+04,1.203000000000000076e-02,1.919835534255152354e-01,8.476379287364438353e-01,1.557658010631564382e-04
9.246000000000000000e+04,1.203000000000000076e-02,1.918694047522562229e-01,8.477060350589411541e-01,1.557661511200462176e-04
9.252000000000000000e+04,1.203000000000000076e-02,1.917554593904267635e-01,8.477740345148750967e-01,1.557665002511406137e-04
9.258000000000000000e+04,1.203000000000000076e-02,1.916417168089745715e-01,8.478419273485714447e-01,1.557668484595743804e-04
9.264000000000000000e+04,1.203000000000000076e-02,1.915281764785762286e-01,8.479097138036897352e-01,1.557671957479597941e-04
9.270000000000000000e+04,1.203000000000000076e-02,1.914148378716333809e-01,8.479773941232201517e-01,1.557675421194316089e-04
9.276000000000000000e+04,1.203000000000000076e-02,1.913017004622693806e-01,8.480449685494856338e-01,1.557678875767762512e-04
9.282000000000000000e+04,1.203000000000000076e-02,1.911887637263248729e-01,8.481124373241414327e-01,1.557682321231285019e-04
9.288000000000000000e+04,1.203000000000000076e-02,1.910760271413536882e-01,8.481798006881744456e-01,1.557685757614489107e-04
9.294000000000000000e+04,1.203000000000000076e-02,1.909634901866186230e-01,8.482470588819053248e-01,1.557689184943497813e-04
9.300000000000000000e+04,1.203000000000000076e-02,1.908511523430867496e-01,8.483142121449872564e-01,1.557692603253141945e-04
9.306000000000000000e+04,1.203000000000000076e-02,1.907390130934245587e-01,8.483812607164081809e-01,1.557696012567802500e-04
9.312000000000000000e+04,1.203000000000000076e-02,1.906270719219934628e-01,8.484482048344911265e-01,1.557699412917085786e-04
9.318000000000000000e+04,1.203000000000000076e-02,1.905153283148445231e-01,8.485150447368935422e-01,1.557702804334080570e-04
9.324000000000000000e+04,1.203000000000000076e-02,1.904037817597132309e-01,8.485817806606112956e-01,1.557706186844909618e-04
9.330000000000000000e+04,1.203000000000000076e-02,1.902924317460148451e-01,8.486484128419771178e-01,1.557709560479179239e-04
9.336000000000000000e+04,1.203000000000000076e-02,1.901812777648386743e-01,8.487149415166627131e-01,1.557712925266495200e-04
9.342000000000000000e+04,1.203000000000000076e-02,1.900703193089429976e-01,8.487813669196808686e-01,1.557716281234721768e-04
9.348000000000000000e+04,1.203000000000000076e-02,1.899595558727495137e-01,8.488476892853851208e-01,1.557719628415206480e-04
9.354000000000000000e+04,1.203000000000000076e-02,1.898489869523379281e-01,8.489139088474719763e-01,1.557722966834072646e-04
9.360000000000000000e+04,1.203000000000000076e-02,1.897386120454406799e-01,8.489800258389825771e-01,1.557726296520925489e-04
9.366000000000000000e+04,1.203000000000000076e-02,1.896284306514368911e-01,8.490460404923034776e-01,1.557729617505371590e-04
9.372000000000000000e+04,1.203000000000000076e-02,1.895184422713470929e-01,8.491119530391687542e-01,1.557732929815275216e-04
9.378000000000000000e+04,1.203000000000000076e-02,1.894086464078277854e-01,8.491777637106607823e-01,1.557736233478500363e-04
9.384000000000000000e+04,1.203000000000000076e-02,1.892990425651653041e-01,8.492434727372122349e-01,1.557739528524653609e-04
9.390000000000000000e+04,1.203000000000000076e-02,1.891896302492704907e-01,8.493090803486080809e-01,1.557742814981598952e-04
9.396000000000000000e+04,1.203000000000000076e-02,1.890804089676730304e-01,8.493745867739861399e-01,1.557746092878942428e-04
9.402000000000000000e+04,1.203000000000000076e-02,1.889713782295154576e-01,8.494399922418403026e-01,1.557749362241065577e-04
9.408000000000000000e+04,1.203000000000000076e-02,1.888625375455474376e-01,8.495052969800204190e-01,1.557752623101057163e-04
9.414000000000000000e+04,1.203000000000000076e-02,1.887538864281205209e-01,8.495705012157351854e-01,1.557755875481557227e-04
9.420000000000000000e+04,1.203000000000000076e-02,1.886454243911816486e-01,8.496356051755534766e-01,1.557759119413913034e-04
9.426000000000000000e+04,1.203000000000000076e-02,1.885371509502680176e-01,8.497006090854059002e-01,1.557762354927730622e-04
9.432000000000000000e+04,1.203000000000000076e-02,1.884290656225007798e-01,8.497655131705872389e-01,1.557765582047391530e-04
9.438000000000000000e+04,1.203000000000000076e-02,1.883211679265797966e-01,8.498303176557572280e-01,1.557768800800760024e-04
9.444000000000000000e+04,1.203000000000000076e-02,1.882134573827775603e-01,8.498950227649428868e-01,1.557772011215700371e-04
