time_s,radius_m,mean_dry_basis_C,conditional_dry_mass_ratio,material_water_budget_relative
9.762000000000000000e+04,1.201999999999999943e-02,1.834777263086319055e-01,8.513354356862428141e-01,1.559771211019225854e-04
9.768000000000000000e+04,1.201999999999999943e-02,1.833787098071107957e-01,8.513953590281033712e-01,1.559774026536108534e-04
9.774000000000000000e+04,1.201999999999999943e-02,1.832798576423942671e-01,8.514551940441120736e-01,1.559776836281573256e-04
9.780000000000000000e+04,1.201999999999999943e-02,1.831811694238822119e-01,8.515149409164667338e-01,1.559779639956076916e-04
9.786000000000000000e+04,1.201999999999999943e-02,1.830826447599677997e-01,8.515745998285646490e-01,1.559782437366310874e-04
9.792000000000000000e+04,1.201999999999999943e-02,1.829842832585978352e-01,8.516341709645719460e-01,1.559785228388625938e-04
9.798000000000000000e+04,1.201999999999999943e-02,1.828860845276480684e-01,8.516936545091348121e-01,1.559788012939429579e-04
9.804000000000000000e+04,1.201999999999999943e-02,1.827880481751868458e-01,8.517530506471799878e-01,1.559790790962992178e-04
9.810000000000000000e+04,1.201999999999999943e-02,1.826901738096678440e-01,8.518123595637645540e-01,1.559793562417517742e-04
9.816000000000000000e+04,1.201999999999999943e-02,1.825924610400747605e-01,8.518715814439661305e-01,1.559796327276883232e-04
9.822000000000000000e+04,1.201999999999999943e-02,1.824949094760316970e-01,8.519307164727955017e-01,1.559799085525414881e-04
9.828000000000000000e+04,1.201999999999999943e-02,1.823975187278909782e-01,8.519897648351324460e-01,1.559801837152663417e-04
9.834000000000000000e+04,1.201999999999999943e-02,1.823002884068019580e-01,8.520487267156678923e-01,1.559804582156887342e-04
9.840000000000000000e+04,1.201999999999999943e-02,1.822032181247664195e-01,8.521076022988641752e-01,1.559807320532861886e-04
9.846000000000000000e+04,1.201999999999999943e-02,1.821063074946841776e-01,8.521663917689151768e-01,1.559810052284070589e-04
9.852000000000000000e+04,1.201999999999999943e-02,1.820095561303893827e-01,8.522250953097213477e-01,1.559812777420962451e-04
9.858000000000000000e+04,1.201999999999999943e-02,1.819129636466810807e-01,8.522837131048616177e-01,1.559815495945278700e-04
9.864000000000000000e+04,1.201999999999999943e-02,1.818165296593483027e-01,8.523422453375751884e-01,1.559818207870951876e-04
9.870000000000000000e+04,1.201999999999999943e-02,1.817202537851906330e-01,8.524006921907425482e-01,1.559820913206689478e-04
9.876000000000000000e+04,1.201999999999999943e-02,1.816241356420355002e-01,8.524590538468727052e-01,1.559823611968165274e-04
9.882000000000000000e+04,1.201999999999999943e-02,1.815281748487518609e-01,8.525173304880891978e-01,1.559826304164086764e-04
9.888000000000000000e+04,1.201999999999999943e-02,1.814323710252627730e-01,8.525755222961204360e-01,1.559828989810127715e-04
9.894000000000000000e+04,1.201999999999999943e-02,1.813367237925545272e-01,8.526336294522905979e-01,1.559831668921962168e-04
9.900000000000000000e+04,1.201999999999999943e-02,1.812412327726847794e-01,8.526916521375124125e-01,1.559834341513521849e-04
9.906000000000000000e+04,1.201999999999999943e-02,1.811458975887891842e-01,8.527495905322790559e-01,1.559837007602222570e-04
9.912000000000000000e+04,1.201999999999999943e-02,1.810507178650864191e-01,8.528074448166609312e-01,1.559839667205479056e-04
9.918000000000000000e+04,1.201999999999999943e-02,1.809556932268825968e-01,8.528652151702981188e-01,1.559842320338965347e-04
9.924000000000000000e+04,1.201999999999999943e-02,1.808608233005741250e-01,8.529229017723984896e-01,1.559844967018355212e-04
9.930000000000000000e+04,1.201999999999999943e-02,1.807661077136506478e-01,8.529805048017340408e-01,1.559847607262805419e-04
9.936000000000000000e+04,1.201999999999999943e-02,1.806715460946963780e-01,8.530380244366361220e-01,1.559850241089730965e-04
9.942000000000000000e+04,1.201999999999999943e-02,1.805771380733912912e-01,8.530954608549946583e-01,1.559852868516547390e-04
