case,event_h,n,dt,ale,moving,tail,max_cumulative_balance_relative,empirical_dry_mass_ratio_min,empirical_dry_mass_ratio_final,material_water_budget_trapezoid60s_final_relative
fixed,129.1006076388889,81,0.5,False,False,last,3.6537222049624755e-13,1.0,2.4732784671478907,0.0001568367547423591
fixed_ale,129.1006076388889,81,0.5,True,False,last,3.7575045879767236e-13,1.0,2.4732784671478907,0.0001568367547423591
moving_material,50.82347222222222,81,0.5,False,True,last,5.5554689389086256e-14,0.719904741305544,0.8903386719668361,0.00015592422545850166
moving_eulerian,52.381388888888885,81,0.5,True,True,last,2.8061703287860114e-14,0.6647113424487189,0.890337639535811,0.32446590007763837
moving_material_dt1,50.823802083333334,81,1.0,False,True,last,1.4454668399041253e-14,0.7199039151553809,0.8903386734512979,0.00017477320063429957
moving_material_mean,51.09128472222222,81,0.5,False,True,mean,4.667290519208501e-14,0.7195688709220801,0.8903347488104963,0.00015609503764172297
moving_material_nominal,51.08986111111111,81,0.5,False,True,nominal,7.296995252046126e-14,0.7195691585128777,0.8903342980333132,0.00015610972825924718
