seed,seed_hex,stress,problem,variant,run_status,engine_end_reason,total,cleared,clear_rate,error,mean_time_per_source,virtual_time_s,distance,runtime,device,fallback_count,grid_points,clear_attempts,optical_clear_attempts,diagnostic_count,detect_count,switch_count,config_hash,scene_hash,source_hash,directional_count,evidence,grid_version,stage_discovery_s,stage_active_localization_s,stage_diagnostic_s,stage_optical_fallback_s,stage_certified_clear_s,stage_sum_error_s,validation_errors,valid_full_clear
281,a065c7dcba8be8c114430884aa77912a1afffc22efcb2c6b69557682d88447c6,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,705.4174088,10581.261132,38591.305661449405,1.2618892999998934,cpu,0,0,15,0,0,472,428,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,77be03f271a673a341625419bf884baf18158fb1442e1e899e750bdf440d5819,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v1,8944.277646999999,1017.0614339999997,0.0,0.0,619.9220509999993,1.8189894035458565e-12,[],True
282,d770912cb60bc809ff0ade4c922fa2e48f49e08e760e10f39b6fad070001ae79,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,2517.1411184666667,37757.116777,168400.58384947674,1.6612860999994155,cpu,1,390,305,291,0,529,487,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,b9067509da0cb9d7d1696aff35bb7a1b9193ebbedf930d5026f9cdf5a9930b5d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v1,10058.562388000018,1376.862390999987,0.0,25647.129918000002,674.5620799999957,0.0,[],True
282,d770912cb60bc809ff0ade4c922fa2e48f49e08e760e10f39b6fad070001ae79,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,968.5312822666667,14527.969234,51849.846150694546,1.6419084999997722,cpu,1,390,332,318,0,529,487,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,b9067509da0cb9d7d1696aff35bb7a1b9193ebbedf930d5026f9cdf5a9930b5d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v1,10062.481223,1376.8623910000042,0.0,2414.06354,674.5620799999957,0.0,[],True
282,d770912cb60bc809ff0ade4c922fa2e48f49e08e760e10f39b6fad070001ae79,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,15,15,1.0,,822.88161,12343.22415,45626.12073256219,1.7407598000008875,cpu,0,0,15,0,2,531,488,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,b9067509da0cb9d7d1696aff35bb7a1b9193ebbedf930d5026f9cdf5a9930b5d,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,13,recovered_practice_engine_local,grid_v1,10059.258220000002,1376.8623909999997,207.8073599999998,0.0,699.2961789999996,0.0,[],True
283,784f17a46998e17f112cffa6f4e7c8e56588c8dabd3aa02ebb1c32e44a3ffb1e,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1271.5969389,12715.969389,44649.846938536866,1.152334599999449,cpu,2,405,29,21,0,620,579,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,d1908748404f3cb4c35f25551aec31a3a47a60e2a82e6d00e30f2655532d28cc,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,8,recovered_practice_engine_local,grid_v1,10610.011151999997,1241.638184000001,0.0,597.73236,266.5876930000006,0.0,[],True
283,784f17a46998e17f112cffa6f4e7c8e56588c8dabd3aa02ebb1c32e44a3ffb1e,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1375.4850758,13754.850758,47534.25379137423,1.1835961000015232,cpu,2,405,183,175,0,620,579,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,d1908748404f3cb4c35f25551aec31a3a47a60e2a82e6d00e30f2655532d28cc,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,8,recovered_practice_engine_local,grid_v1,10610.011152000003,1241.6381839999979,0.0,1636.6137290000001,266.5876930000006,1.8189894035458565e-12,[],True
283,784f17a46998e17f112cffa6f4e7c8e56588c8dabd3aa02ebb1c32e44a3ffb1e,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,10,10,1.0,,1274.0392531,12740.392531,44951.96265550908,1.3440177000011317,cpu,0,0,10,0,4,624,580,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,d1908748404f3cb4c35f25551aec31a3a47a60e2a82e6d00e30f2655532d28cc,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,8,recovered_practice_engine_local,grid_v1,10609.083243,1241.6381839999997,569.1449799999989,0.0,320.52612400000135,0.0,[],True
284,8b33120b2c095fea489b41e2990e29db28143840ba1b161329f50858f1c9fdb0,sha256_new_design,4,P4_current_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,965.0790531428572,13511.106744,52180.53370585373,1.4772773000004236,cpu,1,390,97,84,0,468,416,4aa5ed9f0476d422aa1a3133c5fdb3433f2e93a213b8abdb030decdd71bdafea,58829e3c0668e0ec9bdd19b90a9683eeed57db0c0a4b7d631fe0f404f3fcc0f0,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,14,recovered_practice_engine_local,grid_v1,9416.762642000002,1259.9502369999987,0.0,2449.1792480000004,385.2146169999995,0.0,[],True
284,8b33120b2c095fea489b41e2990e29db28143840ba1b161329f50858f1c9fdb0,sha256_new_design,4,P4_route_only_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,909.5640262857142,12733.896368,46284.48185252034,1.4551289999999426,cpu,1,390,231,218,0,468,416,cb7424de648741445e15bb1994f8c018357a5f44b60eaa29aba3b6bc7d937271,58829e3c0668e0ec9bdd19b90a9683eeed57db0c0a4b7d631fe0f404f3fcc0f0,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,14,recovered_practice_engine_local,grid_v1,9416.762641999998,1259.950236999999,0.0,1671.9688720000001,385.2146170000027,0.0,[],True
284,8b33120b2c095fea489b41e2990e29db28143840ba1b161329f50858f1c9fdb0,sha256_new_design,4,P4_diagnostic_v1_grid_v1,FULL_CLEAR,user_exit,14,14,1.0,,802.7113351428571,11237.958692,42009.79346085124,1.5781955999991624,cpu,0,0,14,0,2,470,416,dbc2410062cd54ef42aab2386c7e3f91784cf9bdb9913a67cd28fcbd825c381c,58829e3c0668e0ec9bdd19b90a9683eeed57db0c0a4b7d631fe0f404f3fcc0f0,582606f08e9038b9bbbadc596bb4fa861f331ee6bfdb70a5c71433bbcb022860,14,recovered_practice_engine_local,grid_v1,9416.762642,1276.6402420000009,91.62380199999984,0.0,452.9320059999999,0.0,[],True
