seed,total,C_s_per_source,R12_s_per_source,delta_s_per_source,delta_distance_m
34,15,618.4643402,465.0107632666667,-153.45357693333335,-5489.018255200339
35,11,854.6185463636364,625.5042414545455,-229.11430490909083,-9251.286734162706
36,14,632.4017715714286,457.3684320714286,-175.03333950000007,-10922.333740176586
37,15,552.3216605333333,520.9637752666666,-31.3578852666667,-2491.841398056218
38,16,516.4805898125,384.39478475,-132.08580506250007,-7211.864398347767
39,15,594.8649766,484.62318933333336,-110.24178726666662,-7138.134020886209
40,15,597.4007230666666,413.41365986666665,-183.98706319999997,-10874.029745994976
41,10,938.5090861000001,712.1028785000001,-226.40620760000002,-6790.310343925215
42,13,655.4073319230769,524.9509686923077,-130.45636323076917,-6064.663611671302
43,14,627.1028220714286,512.8020784285715,-114.30074364285713,-5571.0520338973765
44,16,422.872026625,317.607846125,-105.26418050000001,-4966.134448956829
45,15,598.6216162666666,440.9800397333333,-157.6415765333333,-7683.118248079525
46,14,642.3233089285715,497.19457471428575,-145.1287342142857,-7609.011376176793
